8,4,,SALCHICHAS
8,5,,PASTAS FRESCAS
8,6,,LECHE COMUN
8,7,,YOGHURT LECHE CULTIVADA POSTRE
8,8,,CREMAS
8,9,,QUESOS TROZADOS
8,10,,FIAMBRES TROZADOS ALMACEN
8,11,,PROD.CONGELADOS EMPANADOS
8,12,,QUESOS UNTABLES
8,13,,PROD.CARNICERIA SIN POLLO
8,14,,PROD.CARNICERIA SOLO POLLO
8,15,,PUNTAS DE FIAMBRES
8,16,,DULCES CAJON Y OTROS
8,17,,FIAMBRES TROZADOS FIAMBRERIA
8,18,,CONGELADOS HELADOS
8,19,,HAMBURGUESAS CONGELADAS
8,20,,PRODUCTOS PANADERIA-FRESCOS
8,21,,YOGHURT DE LITRO
8,22,,YOGHURT Y VARIOS
8,23,,POSTRES Y FLANES
8,24,,MANTECAS
8,25,,FRUTAS Y VERDURAS
8,26,,PANIFICADOS ROCA
8,27,,PROD.CONGELADOS VEGETALES
8,28,,PROD.CONGELADOS PESCADOS
8,29,,PRODUCTOS CONGELADOS LISTOS
8,30,,PROD.DESPOSTE A ALMACEN
8,31,,REPOSTERIA-TORTAS-POSTRES
8,32,,MASITERIA-ALFAJORES
8,33,,PANADERIA DIARIA
8,34,,ENSALADAS
8,35,,PIZZAS-EMPANADAS-TARTAS
8,36,,SANDWICHS
8,37,,PROD. ELABORAC. PANADERIA SECO
8,38,,PROD. ELABORAC. ROTISERIA SECO
8,39,,PROD. ELABO. ROTISERIA FRESCOS
8,40,,PROD.CONGEL. GRANEL PESCADERIA
8,41,,PROD.CONGEL. A GRANEL POLLO
8,42,,PROD.CONGEL. A GRANEL VERDURA
8,43,,VERDURAS DURAS
8,44,,VERDURAS VERDES
8,500,,ENVASES VERDURA
8,501,,ENVASES FIAMBRERIA
8,502,,ENVASES ALMACEN
8,503,,BANDEJAS VIEJAS
9,0,,ROPA E IDUMENTARIA
9,1,,NIآ¥O MEDIAS-CAN CAN INVIERNO
9,2,,"NIآ¥O CAMISAS,REMERAS,POLER.INV"
9,3,,"NIآ¥O CAMISETAS,PIJAMA,INVIERNO"
9,4,,"NIآ¥O JEAN,JOGGING INVIERNO"
9,5,,NIآ¥O PULLOVER LANA-BUZOS INV.
9,6,,"NIآ¥O CAMPERAS,SACOS INVIERNO"
9,7,,NIآ¥O VESTIDOS-VARIOS INVIERNO
9,8,,SALDOS Y REBAJAS VERANO
9,9,,MANTL.INDIV.SERVILLETA.CARPET
9,10,,GORROS SOMBREROS INVIERNO
9,11,,MANTEL.INDIV.SERVILLETA.CARPET
9,12,,TOALLONES PLAYEROS Y OTROS
9,13,,ACOLCHADOS Y FRAZADAS II
9,14,,ALFOMBRAS ALMOHADONES FUNDAS
9,15,,"BAآ¥O: TOALLA TOALLONES, JUEGOS"
9,16,,"BAآ¥O: TOALLA TOALLONES, JUEGOS"
9,17,,BEBE BOLSOS CAMBIADOR BABEROS
9,18,,"BEBE CAMISET,REMER,POLERA INVI"
9,19,,"BEBE CAMISET,REMER,POLERA INVI"
9,20,,"HBRE.MEDIAS, CINTOS INVIERNO"
9,21,,"HBRE.CAMISAS,REMERAS INVIERNO"
9,22,,"HBRE.JEAN,JOGGING,PANT.INVIERN"
